BoxAWetWeight,Urea_Kgs,Season,Variety,Country,BoxBLength,PlotSize_acres,CAN_Kgs,Year,BoxBDryWeight,DAP_Kgs,NPK_Kgs,BoxALength,BoxAWidth,PlantingDate,BoxBWetWeight,ImgID,Longitude,BoxBWidth,Latitude,BoxADryWeight
20.4,,2018 LR,scduma43,Kenya,6.0,0.25,12.5,2018,,12.5,,6.0,6.0,3/10/2018,21.5,id_0962ceba,34.7482791,6.0,-0.6635411,
,,2018 LR,,Kenya,,0.5,,2018,3.0,,,,,,,id_0962df0e,34.37718331,,0.54778858,4.95
39.9,,2018 LR,dk8031,Kenya,6.0,0.5,25.0,2018,,25.0,,6.0,6.0,3/10/2018,33.6,id_0973dfa6,34.41769497,6.0,0.230446365,
24.1,,2015 LR,,Kenya,8.0,1.03,0.0,2015,5.5,50.0,,8.0,5.0,,12.2,id_09780b27,34.59663949,5.0,0.138757515,9.0
31.6,,2018 LR,Panner_691,Tanzania,6.0,1.0,,2018,26.3,25.0,,6.0,6.0,,29.0,id_097b88b7,35.4370924,6.0,-8.1191282,27.4
,,2018 LR,,Kenya,,0.25,,2018,11.2,,,,,,,id_09805409,34.71257491,,-0.940237725,6.15
17.8,,2018 LR,otherhybrid,Kenya,6.0,1.0,,2018,,10.0,,6.0,6.0,3/28/2018,23.4,id_098693c0,34.9576428,6.0,0.8189524,
,,2018 LR,,Kenya,,0.5,,2018,2.95,,,,,,,id_0987ce9f,34.4573882,,0.652167,6.8
12.0,0.25,2016A,,Rwanda,5.0,0.3706575,,2016,,0.5,,5.0,5.0,9/16/2015,14.0,id_098afa52,29.39404992,5.0,-2.235471331,
28.0,2.0,2015B,ZM607,Rwanda,,0.03706575,,2015,,2.0,,,,15-Feb-15,17.0,id_098b255d,29.62573333,,-2.480427868,
,,2018 LR,,Kenya,,0.125,,2018,1.5,,,,,,,id_098bf2cb,34.82052156,,0.519306592,0.45
30.75,,2018 LR,wh509,Kenya,6.0,0.5,,2018,,25.0,,6.0,6.0,3/15/2018,26.22,id_098d13cf,34.6735668,6.0,-0.7535869,
6.2,2.0,2018B,opv_unk,Rwanda,5.0,0.21003925,,2018,,2.0,0.0,5.0,5.0,1/15/2018,5.8,id_0993ee83,29.21490141,5.0,-2.424939184,
,,2017 LR,H 6213,Kenya,8.0,0.25,25.0,2017,21.35,25.0,,8.0,5.0,,,id_0996a0ea,34.7765781,5.0,0.7906253,18.25
16.1,,2015 LR,,Kenya,8.0,0.5,25.0,2015,10.8,25.0,,8.0,5.0,,23.55,id_09a200a0,34.8200926,5.0,0.531671201,6.45
,,2018 LR,,Kenya,,0.5,,2018,21.4,,,,,,,id_09a33159,34.3393125,,-1.096034213,25.0
21.8,1.5,2018A,unknown,Rwanda,5.0,0.1235525,,2018,,2.5,0.0,5.0,5.0,10/6/2017,24.5,id_09a72b45,29.01383305,5.0,-2.5123274,
,,2018 LR,,Kenya,,2.0,,2018,9.2,,,,,,,id_09ad0919,35.0549348,,0.5831981,10.0
32.3,,2018 LR,dk8031,Kenya,6.0,0.25,,2018,,10.0,,6.0,6.0,2/23/2018,30.2,id_09ad10e0,34.96846656,6.0,-0.566349051,
,,2018 LR,,Kenya,,0.75,,2018,23.7,,,,,,,id_09adf67c,34.70646719,,0.788202729,22.4
,,2017 LR,SC DUMA 43,Kenya,8.0,1.0,50.0,2017,5.9,50.0,,8.0,5.0,,,id_09b29bfe,34.14814939,5.0,0.38921538,6.75
,,2018 LR,,Kenya,,3.0,,2018,17.15,,,,,,,id_09b3039c,34.92670975,,1.075830705,12.8
21.0,25.0,2018B,opv_unk,Rwanda,5.0,2.1498135,,2018,12.0,50.0,0.0,5.0,5.0,2/18/2018,20.2,id_09b743cc,30.27198359,5.0,-1.382472537,3.450000048
,,2017 LR,H 614D,Kenya,8.0,0.5,25.0,2017,18.1,25.0,,8.0,5.0,,,id_09bf8bae,35.08498286,5.0,0.1736582,16.4
19.95,,2015 LR,,Kenya,8.0,0.25,0.0,2015,10.8,10.0,,8.0,5.0,,19.7,id_09c43492,34.46379132,5.0,0.057298394,10.5
23.1,,2018 LR,dk8031,Kenya,6.0,0.5,,2018,,25.0,,6.0,6.0,3/7/2018,21.95,id_09cc7fbf,34.4641498,6.0,0.1789853,
15.65,,2016 LR,WE 1101,Kenya,5.0,0.5,25.0,2016,7.15,25.0,,5.0,8.0,,13.8,id_09d2509c,34.56273649,8.0,0.187934926,7.55
,,2017 LR,WH 505,Kenya,5.0,0.25,12.25,2017,11.15,12.5,,5.0,8.0,,,id_09d878bd,34.54058158,8.0,0.193056266,13.65
30.0,,2015 LR,,Kenya,8.0,0.5,0.0,2015,12.56,25.0,,8.0,5.0,,31.0,id_09ddceb4,34.4989275,5.0,0.2287285,15.55
,,2017 LR,,Kenya,8.0,0.25,0.0,2017,10.25,10.0,,8.0,5.0,,,id_09de10a5,34.329884,5.0,0.133061859,8.9
24.55,,2018 LR,localmaize,Kenya,6.0,0.25,,2018,,25.0,,6.0,6.0,3/18/2018,25.85,id_09ded7b7,34.84903737,6.0,-0.449820599,
15.7,,2018 LR,pioneerp3812w,Kenya,6.0,0.25,,2018,,10.0,,6.0,6.0,3/20/2018,21.6,id_09e44d27,35.1047736,6.0,-0.357926552,
26.7,,2015 LR,,Kenya,8.0,0.25,10.0,2015,15.95,10.0,,8.0,5.0,,26.5,id_09e69a76,34.4616038,5.0,-1.001630682,18.25
,,2016 LR,,Tanzania,6.0,2.5,25.0,2016,7.0,,,6.0,6.0,,,id_09ea2e18,35.8154183,6.0,-7.915823333,8.0
,,2018 LR,,Kenya,,0.5,,2018,8.7,,,,,,,id_09ed0651,34.56161682,,0.144140731,18.9
0.0,,2016 LR,PN_15,Kenya,8.0,0.5,25.0,2016,0.0,25.0,,8.0,5.0,3/26/2016,0.0,id_09ee627b,34.57569332,5.0,0.184319098,0.0
7.9,,2018 LR,,Tanzania,6.0,1.0,,2018,3.3,,,6.0,6.0,,4.2,id_09eed319,34.6413724,6.0,-8.7766677,6.5
20.5,,2018 LR,h614d,Kenya,6.0,0.8,,2018,,35.0,,6.0,6.0,3/10/2019,25.3,id_09f192ca,35.20632313,6.0,0.195667444,
,,2018 LR,,Kenya,,0.25,,2018,13.4,,,,,,,id_09f88d3a,34.67040472,,-0.664031987,9.2
8.0,,2016 LR,WH_505,Kenya,8.0,0.25,12.5,2016,12.0,12.5,,8.0,5.0,4/13/2016,23.0,id_09f90cf3,34.53705821,5.0,0.756234328,5.0
,,2017 LR,,Kenya,8.0,2.0,25.0,2017,15.6,25.0,,5.0,8.0,,,id_09fd611b,34.81206969,5.0,0.340990322,19.6
,,2018 LR,,Kenya,,4.5,,2018,17.9,,,,,,,id_0a00a6bb,34.93247384,,0.890969965,19.5
22.4,6.0,2018 LR,wh505,Kenya,6.0,0.75,12.0,2018,,,,6.0,6.0,3/5/2018,15.1,id_0a01da1f,34.4357657,6.0,0.6660302,
,,2017 LR,H 614D,Kenya,8.0,0.5,25.0,2017,15.0,25.0,,8.0,5.0,,,id_0a0f8c07,35.04487788,5.0,-0.408280439,19.0
9.5,,2015A,DK,Rwanda,,0.0247105,,2015,,,,,,16-Oct-14,34.0,id_0a1f5b9e,29.82321912,,-2.461284484,
29.0,,2015 LR,,Kenya,8.0,0.25,12.5,2015,21.15,12.5,,8.0,5.0,,29.7,id_0a219be0,34.94788986,5.0,0.415966011,20.85
,,2018 LR,,Kenya,,0.5,,2018,11.5,,,,,,,id_0a25bbb0,34.122968,,0.4907987,10.4
,,2018 LR,,Kenya,,1.0,,2018,28.9,,,,,,,id_0a2edb2b,34.71851675,,-0.696812213,20.1
28.0,,2015 LR,,Kenya,8.0,0.5,10.0,2015,12.15,10.0,,8.0,5.0,,24.35,id_0a319694,34.7987263,5.0,-0.645373279,14.6
10.7,,2018 LR,h614d,Kenya,6.0,0.5,,2018,,20.0,,6.0,6.0,3/14/2018,12.75,id_0a342651,34.85788657,6.0,0.03986144,
,,2018 LR,,Kenya,,2.5,,2018,0.0,,,,,,,id_0a359357,34.63648434,,0.371713265,0.0
,,2017 LR,WH 505,Kenya,8.0,0.5,25.0,2017,11.1,25.0,,8.0,5.0,,,id_0a3607e1,34.75409397,5.0,0.713294149,5.0
8.5,,2016 LR,Other_Hybrid,Kenya,8.0,0.25,63.0,2016,5.1,6.0,,,5.0,4/20/2016,4.5,id_0a40eecc,34.12129098,,0.400149101,5.3
39.15,,2018 LR,scduma43,Kenya,6.0,0.25,12.5,2018,,12.5,,6.0,6.0,2/22/2018,39.8,id_0a454c9e,34.65170575,6.0,0.10057534,
28.0,0.25,2016A,,Rwanda,5.0,1.037841,,2016,,0.5,,5.0,5.0,10/8/2015,35.0,id_0a48c54f,29.81163212,5.0,-2.598889745,
13.45,,2016 LR,DK_8031,Kenya,8.0,0.25,10.0,2016,6.87,12.5,,8.0,5.0,3/18/2016,13.9,id_0a514809,34.18792077,5.0,0.173903866,7.02
,,2018 LR,,Kenya,,0.15,,2018,5.9,,,,,,,id_0a546fb7,35.0908745,,0.6547992,6.15
,,2018 LR,,Tanzania,,1.0,,2018,,,,,,,,id_0a5eed6a,35.6299029,,-7.8613036,
,,2018 LR,,Kenya,,0.25,,2018,23.3,,,,,,,id_0a5f38f2,34.71379409,,-0.567872501,17.9
,,2018 LR,,Kenya,,0.25,,2018,6.35,,,,,,,id_0a608569,37.1642189,,-0.568667,19.8
34.27,,2015 LR,,Kenya,8.0,1.0,50.0,2015,17.7,50.0,,8.0,5.0,,42.0,id_0a63ce75,34.59345077,5.0,0.74802229,20.05
,,2017 LR,H 6213,Kenya,8.0,0.5,25.0,2017,24.0,25.0,,8.0,5.0,,,id_0a699c43,35.0633385,5.0,-0.487528888,15.0
,,2017 LR,DK 8031,Kenya,8.0,0.5,25.0,2017,13.55,25.0,,8.0,5.0,,,id_0a6c4fc1,34.45132054,5.0,0.198165583,15.8
,,2017 LR,WH 505,Kenya,8.0,0.25,,2017,7.4,,,8.0,5.0,,,id_0a6e1404,34.73685745,,0.432714829,12.3
,,2017 LR,Pioneer P3812W,Kenya,8.0,0.25,7.0,2017,14.35,7.0,,8.0,5.0,,,id_0a6f0825,34.41889373,5.0,0.169833882,14.9
30.1,,2018 LR,dk8031,Kenya,6.0,0.5,,2018,,25.0,,6.0,6.0,3/6/2018,28.2,id_0a707613,34.58819566,6.0,-1.021923072,
18.9,,2016 LR,,Kenya,8.0,0.25,10.0,2016,13.5,10.0,,,5.0,,23.2,id_0a7cad74,34.55850846,,0.581863001,10.0
19.65,,2018 LR,,Kenya,6.0,0.25,,2018,,,,6.0,6.0,,20.0,id_0a7ef6ba,34.7301112,6.0,0.2387392,
34.7,,2018 LR,wh505,Kenya,6.0,0.5,,2018,,20.0,,6.0,6.0,3/25/2018,30.15,id_0a805d4e,35.1998065,6.0,0.058014,
,,2017 LR,,Kenya,8.0,0.25,8.0,2017,21.9,8.0,,8.0,5.0,,,id_0a8147e3,34.55683107,5.0,0.10863731,24.6
19.5,,2018 LR,scpundamilia53,Kenya,6.0,0.25,12.5,2018,,12.5,,6.0,6.0,3/17/2018,23.5,id_0a81dd0b,34.6660999,6.0,0.0844215,
35.9,,2016 LR,H 6213,Kenya,5.0,0.5,12.5,2016,22.1,12.5,,,8.0,,32.1,id_0a82f1f7,34.98223794,,0.736273192,27.3
,,2017 LR,,Kenya,8.0,1.5,20.0,2017,13.65,15.0,,8.0,5.0,,,id_0a8d8ba9,34.6865946,5.0,-0.0132547,10.55
,,2018 LR,,Kenya,,0.5,,2018,19.56,,,,,,,id_0a8f0719,34.76778311,,-0.670076466,18.23
13.55,,2018 LR,localmaize,Kenya,6.0,1.5,50.0,2018,,50.0,,6.0,6.0,3/15/2018,15.0,id_0a9516c1,34.2075244,6.0,0.0777264,
,,2017 LR,DK 8031,Kenya,8.0,0.5,,2017,9.4,,,8.0,5.0,,,id_0a97bd85,34.47797416,,0.255951514,11.3
5.9,,2018 LR,localmaize,Kenya,6.0,0.25,,2018,,2.0,,6.0,6.0,3/7/2018,9.0,id_0a998769,34.4912552,6.0,-1.0431871,
34.0,,2015 LR,,Kenya,8.0,1.0,50.0,2015,6.15,50.0,,8.0,5.0,,30.0,id_0a9aebc5,34.34178317,5.0,0.568648779,8.55
24.9,,2018 LR,sctembo73 otherhybrid,Kenya,6.0,2.0,,2018,,50.0,,6.0,6.0,2/14/2019,20.95,id_0a9b23e6,34.6534724,6.0,-0.862212,
,,2018 LR,,Kenya,,0.25,,2018,13.2,,,,,,,id_0a9ffa6b,34.95890318,,-0.330926235,11.0
0.0,,2016 LR,Local,Kenya,8.0,0.5,18.0,2016,6.8,20.0,,,5.0,4/15/2016,0.0,id_0aa02430,34.558398,,0.5819684,8.2
,,2018 LR,,Kenya,,0.25,,2018,3.8,,,,,,,id_0aa2d55b,34.2657689,,0.173975,5.0
,,2016 LR,,Tanzania,6.0,2.5,50.0,2016,8.0,,,6.0,6.0,,,id_0aac1276,35.7476981,6.0,-7.8364879,8.0
0.0,,2016 LR,Local,Kenya,8.0,0.1,8.0,2016,5.9,8.0,,,5.0,4/17/2016,0.0,id_0ab461ac,34.56811466,,0.033369294,5.95
,,2018 LR,,Kenya,,0.5,,2018,6.85,,,,,,,id_0ab96c86,34.5573873,,0.2590078,10.0
34.16,,2016 LR,H_614D,Kenya,8.0,0.25,2.0,2016,13.55,4.0,,,5.0,4/7/2016,30.0,id_0ab98441,34.78874139,,0.812974888,16.45
,,2018 LR,,Kenya,,0.5,,2018,5.15,,,,,,,id_0ab9fb28,34.9322735,,0.2532961,6.4
16.5,5.0,2015B,NSP,Rwanda,,0.197684,,2015,,8.0,,,,20-Jan-15,16.0,id_0abf88e8,29.10786367,,-2.455110287,
17.3,,2018 LR,h6213,Kenya,6.0,0.4,,2018,,21.0,,6.0,6.0,3/18/2018,12.3,id_0accfffa,35.0065054,6.0,0.9453147,
19.0,,2015A,Pan 4M21,Rwanda,,0.098842,,2015,,,,,,10-Oct-14,16.0,id_0ace503b,29.00430328,,-2.565567866,
10.65,,2018 LR,dk8031 scsimba61,Kenya,6.0,0.75,,2018,,50.0,,6.0,6.0,3/16/2018,10.9,id_0acfa309,34.75402647,6.0,-0.528232294,
,,2018 LR,,Kenya,,0.5,,2018,14.6,,,,,,,id_0ad36a57,34.6409227,,0.0920049,5.15
0.0,,2016 LR,Local,Kenya,8.0,0.25,10.0,2016,0.0,10.0,,,5.0,4/14/2016,0.0,id_0ad73ba8,34.31002284,,0.154297812,0.0
,,2018 LR,,Kenya,,0.5,,2018,12.25,,,,,,,id_0ada827c,34.45475069,,0.102186971,8.7
42.85,,2016 LR,,Kenya,8.0,1.0,50.0,2016,25.2,50.0,,8.0,5.0,,39.85,id_0adabc18,34.62270677,5.0,0.637812472,29.6
10.9,,2018 LR,h614d h6213,Kenya,6.0,2.25,,2018,,250.0,,6.0,6.0,3/28/2018,9.6,id_0adb7ff4,34.9552305,6.0,0.9044007,
41.2,,2018 LR,h6213,Kenya,6.0,0.5,,2018,,25.0,,6.0,6.0,3/7/2018,27.6,id_0ade27fb,34.8883342,6.0,0.9810085,
,,2018 LR,,Kenya,,0.5,,2018,9.0,,,,,,,id_0adece13,34.4567963,,0.6762846,24.05
22.45,,2016 LR,WH_505,Kenya,8.0,0.5,25.0,2016,13.25,25.0,,8.0,5.0,4/12/2016,23.5,id_0adf40bb,35.34541592,5.0,0.016884974,15.35
22.4,,2018 LR,h6218,Kenya,6.0,0.5,50.0,2018,,50.0,,6.0,6.0,3/23/2018,27.45,id_0ae34d36,34.78827239,6.0,-0.558782408,
35.2,,2018 LR,pioneerp3812w,Kenya,6.0,0.25,12.0,2018,,12.0,,6.0,6.0,3/18/2018,24.95,id_0aeb3c7b,35.0107488,6.0,-0.448210798,
,,2018 LR,,Kenya,,0.25,,2018,11.2,,,,,,,id_0aef6d2d,34.41901349,,-0.985613542,5.0
,,2017 LR,PN 15,Kenya,8.0,0.4,,2017,8.4,,,8.0,5.0,,,id_0af26883,34.8459061,,0.0717001,9.4
,,2017 LR,H 614D,Kenya,8.0,0.5,25.0,2017,17.6,25.0,,8.0,5.0,,,id_0af3353f,34.8805809,5.0,0.58129633,17.65
,,2017 LR,H 6213,Kenya,8.0,0.4,,2017,15.85,,,8.0,5.0,,,id_0af56402,35.36472282,,-0.015793003,16.2
,,2018 LR,,Kenya,,3.0,,2018,10.25,,,,,,,id_0af68d9a,34.4194356,,0.681673,5.7
,,2018 LR,,Kenya,,0.125,,2018,3.25,,,,,,,id_0afcf922,34.98858998,,-0.884864901,4.1
36.05,,2016 LR,H_614D,Kenya,8.0,0.5,50.0,2016,22.05,25.0,,8.0,5.0,3/17/2016,40.05,id_0b0c3085,34.89871621,5.0,0.151583917,21.3
,,2017 LR,,Kenya,8.0,0.25,,2017,8.0,,,8.0,5.0,,,id_0b0ed2ae,34.88330501,,-0.779747167,9.5
,,2018 LR,,Kenya,,0.125,,2018,11.1,,,,,,,id_0b0f8fb6,34.0917557,,-0.0354606,14.55
16.0,,2018 LR,h6213,Kenya,6.0,1.0,,2018,,50.0,,6.0,6.0,3/19/2018,17.6,id_0b1b051c,35.32155762,6.0,0.941163778,
23.95,,2018 LR,scduma43,Kenya,6.0,3.0,,2018,,150.0,,6.0,6.0,3/15/2018,15.6,id_0b1c14ba,34.3639307,6.0,0.7517925,
15.7,,2018 LR,dk8031,Kenya,,0.4375,,2018,,12.0,,6.0,6.0,3/2/2018,,id_0b21958d,34.3718459,,0.6986168,
,,2017 LR,,Kenya,8.0,0.9,0.0,2017,12.0,45.0,,8.0,5.0,,,id_0b242e06,35.13514076,5.0,-0.462462455,11.05
19.6,,2018 LR,dk8031,Kenya,6.0,0.5,12.5,2018,,35.0,,6.0,6.0,3/5/2018,23.45,id_0b265f7c,34.3340512,6.0,0.1024864,
,,2018 LR,,Kenya,,0.5,,2018,14.0,,,,,,,id_0b27a1c6,34.47640525,,0.769942098,11.05
,,2017 LR,DK 8031,Kenya,8.0,0.5,25.0,2017,19.7,25.0,,8.0,5.0,,,id_0b2be8e5,34.70775312,5.0,-0.492039729,14.4
,,2018 LR,,Kenya,,4.0,,2018,17.2,,,,,,,id_0b318291,34.70285861,,0.534233683,8.25
,,2017 LR,,Kenya,,0.25,0.0,2017,,0.0,,8.0,5.0,,,id_0b32f341,34.29958553,,0.213322923,3.75
,,2018 LR,,Kenya,,0.5,,2018,6.85,,,,,,,id_0b35e165,34.35414264,,0.093970635,9.3
,,2018 LR,,Kenya,,0.5,,2018,10.2,,,,,,,id_0b36cbf6,34.29513681,,0.009674234,10.6
,,2017 LR,WH 509,Kenya,8.0,0.5,,2017,15.9,,,8.0,5.0,,,id_0b36d879,34.62191829,,0.318227314,14.6
43.0,,2016 LR,WH_505,Kenya,8.0,0.25,10.0,2016,15.4,10.0,,,5.0,4/10/2016,37.0,id_0b4384a6,34.73226448,,0.491858776,19.1
16.27,,2018 LR,h6213,Kenya,6.0,0.25,2.0,2018,,8.0,,6.0,6.0,2/5/2018,14.21,id_0b44a7bf,34.8435292,6.0,-0.7748175,
15.3,,2016 LR,,Kenya,8.0,0.5,25.0,2016,9.8,25.0,,8.0,5.0,,16.0,id_0b4504b9,34.55852288,5.0,0.581835619,9.3
,,2018 LR,,Kenya,,0.25,,2018,6.37,,,,,,,id_0b4eb8d5,34.8430898,,-0.7745946,9.29
,,2018 LR,,Kenya,,0.25,,2018,12.7,,,,,,,id_0b523a6e,34.5298558,,0.2051541,17.0
11.0,,2016 LR,H_6218,Kenya,5.0,0.8,75.0,2016,10.2,75.0,,,8.0,4/18/2016,17.3,id_0b534c9c,34.90784802,,0.732601796,5.5
15.0,,2016 LR,,Kenya,8.0,1.0,50.0,2016,7.6,50.0,,8.0,5.0,,17.15,id_0b544a93,34.41249699,5.0,0.761127979,7.7
19.3,,2015 LR,,Kenya,8.0,0.5,25.0,2015,10.2,25.0,,8.0,5.0,,19.1,id_0b556f06,34.49366273,5.0,0.082639685,9.8
29.9,,2018 LR,wh505,Kenya,6.0,0.25,12.5,2018,,12.5,,6.0,6.0,3/13/2018,32.5,id_0b673694,34.3146069,6.0,0.4773071,
17.3,,2016 LR,WE_1101,Kenya,8.0,0.25,12.5,2016,8.0,12.5,,8.0,5.0,2/17/2016,17.0,id_0b6f0130,34.75478953,5.0,-0.772231696,8.2
31.1,,2018 LR,pn15,Kenya,6.0,1.0,,2018,,50.0,,6.0,6.0,3/15/2018,22.4,id_0b711a10,34.4325423,6.0,0.6316877,
3.5,,2018 LR,localmaize,Kenya,6.0,0.5,,2018,,10.0,,6.0,6.0,4/3/2018,7.8,id_0b79b5ad,34.37717149,6.0,0.208546636,
25.75,,2018 LR,h6213,Kenya,6.0,0.3,,2018,,9.0,,6.0,6.0,2/15/2018,13.5,id_0b7a140f,35.08252581,6.0,0.049726326,
,,2017 LR,,Kenya,8.0,0.25,10.0,2017,3.0,10.0,,8.0,5.0,,,id_0b7a7f67,34.73363092,5.0,-0.631431851,4.5
20.0,,2018 LR,otherhybrid,Kenya,6.0,0.5,,2018,,25.0,,6.0,6.0,3/21/2018,8.0,id_0b7e75ee,35.2351441,6.0,0.2485648,
17.2,,2016 LR,DK_8031,Kenya,8.0,0.5,10.0,2016,8.9,20.0,,,5.0,4/14/2016,17.75,id_0b8532b1,34.77751303,,-0.485466421,8.2
24.55,,2018 LR,dk8031,Kenya,6.0,1.0,,2018,,50.0,,6.0,6.0,3/2/2018,20.75,id_0b921709,34.46055915,6.0,0.308797355,
,,2018 LR,,Kenya,,0.75,,2018,18.65,,,,,,,id_0b95a147,34.6483042,,0.7503518,21.25
,,2016 LR,,Kenya,8.0,0.25,0.0,2016,,0.0,,,5.0,,,id_0b9a1928,34.18463597,,0.371686844,0.0
,,2017 LR,PAN 691,Kenya,8.0,0.75,,2017,14.9,,,8.0,5.0,,,id_0b9bcb84,34.7531893,,0.6656938,16.6
25.0,,2016 LR,WE_1101,Kenya,8.0,0.25,0.0,2016,15.45,0.0,,8.0,5.0,,30.0,id_0ba08d47,34.77008055,5.0,-0.794493193,13.0
19.85,,2016 LR,WH_505,Kenya,8.0,0.25,10.0,2016,8.2,10.0,,,5.0,,14.05,id_0ba327c6,34.46679725,,0.718648058,8.05
,,2018 LR,,Kenya,,0.8125,,2018,10.2,,,,,,,id_0ba499b0,34.2898505,,0.6248458,10.85
22.0,,2015B,SC 637,Rwanda,,0.049421,,2015,,,,,,27-Feb-15,19.0,id_0babdca2,29.40466305,,-1.904936165,
1.4,,2015 LR,,Kenya,8.0,0.25,6.0,2015,1.2,11.0,,8.0,5.0,,2.85,id_0baffd1f,34.22608912,5.0,0.307869075,0.35
12.9,,2018 LR,pioneerp3812w,Kenya,6.0,0.5,25.0,2018,,25.0,,6.0,6.0,3/15/2018,31.5,id_0bb3a13f,34.65067839,6.0,-0.667929185,
,,2018 LR,,Kenya,,1.0,,2018,18.45,,,,,,,id_0bb59377,34.7469928,,0.8378638,14.25
,,2017 LR,,Kenya,8.0,1.5,83.0,2017,23.3,75.0,,8.0,5.0,,,id_0bb66568,34.84128441,5.0,0.838788452,24.2
13.2,12.0,2018B,pan_4m2,Rwanda,5.0,0.569329943,,2018,15.0,0.0,4.0,5.0,5.0,2/25/2018,12.9,id_0bb94438,30.38320829,5.0,-1.65216227,2.299999952
,,2017 LR,SC DUMA 43,Kenya,8.0,1.0,50.0,2017,16.3,50.0,,8.0,5.0,,,id_0bc04882,34.46164422,5.0,0.706157503,14.05
41.0,,2015 LR,,Kenya,8.0,0.5,25.0,2015,16.8,25.0,,8.0,5.0,,41.8,id_0bc73282,34.78983631,5.0,-0.693168603,14.0
18.4,,2018 LR,scduma43,Kenya,6.0,0.25,,2018,,12.5,,6.0,6.0,3/10/2018,12.86,id_0bc74df9,34.97635685,6.0,-0.251026531,
7.45,,2018 LR,localmaize,Kenya,,0.25,,2018,,,,6.0,6.0,3/3/2018,,id_0bd31c5b,34.44761647,,0.694488995,
15.7,,2016 LR,,Kenya,8.0,1.0,50.0,2016,6.5,50.0,,8.0,5.0,,14.9,id_0bd3f28a,34.5583919,5.0,0.5819082,7.35
10.7,,2015 LR,,Kenya,8.0,2.25,25.0,2015,7.3,25.0,,8.0,5.0,,11.32,id_0bd7fa98,34.73276458,5.0,0.157243966,6.75
11.0,15.0,2016A,,Rwanda,5.0,0.889578,,2016,,10.0,,5.0,5.0,10/15/2015,14.0,id_0bdb04a8,30.31732637,5.0,-1.983210121,
,,2017 LR,,Kenya,8.0,1.0,20.0,2017,17.0,20.0,,8.0,5.0,,,id_0bdd1115,34.78238733,5.0,0.134107698,15.0
25.1,,2018 LR,h614d,Kenya,,0.25,,2018,,12.5,,6.0,6.0,2/24/2018,,id_0be29e9e,34.92325262,,-0.870405118,
,,2018 LR,,Kenya,,1.0,,2018,23.45,,,,,,,id_0be7a40c,34.4567963,,0.6762846,24.3
10.0,,2018 LR,dk777,Kenya,6.0,0.3,,2018,,12.5,,6.0,6.0,3/27/2018,10.0,id_0bedc612,35.15269342,6.0,-0.527908893,
12.0,,2016 LR,WH_505,Kenya,8.0,1.0,50.0,2016,5.0,50.0,,8.0,5.0,3/30/2016,10.0,id_0befe249,34.55714512,5.0,0.585113461,6.0
27.55,,2016 LR,Local,Kenya,8.0,1.0,4.0,2016,15.75,0.0,,,5.0,4/14/2016,32.15,id_0beff22e,34.69651837,,0.373390401,12.35
10.0,0.5,2015B,NSP,Rwanda,,0.03706575,,2015,,1.0,,,,2/8/2015,8.0,id_0bf0fdb4,29.40998268,,-2.180645924,
6.45,,2018 LR,h6213,Kenya,6.0,0.25,,2018,,10.0,,6.0,6.0,2/25/2018,7.1,id_0bf3b338,34.93171208,6.0,-0.898944996,
28.25,,2016 LR,H_6213,Kenya,5.0,0.25,6.0,2016,16.3,8.0,,,8.0,4/25/2016,30.75,id_0bf5262e,34.90569616,,0.843341229,14.2
,,2018 LR,,Kenya,,1.0,,2018,0.0,,,,,,,id_0bfb4ab4,34.55771605,,0.76057339,0.0
8.0,,2018 LR,localmaize,Kenya,,0.125,,2018,,,,6.0,6.0,4/14/2018,7.5,id_0bfeb6ee,34.62194313,,-0.551511462,
34.52,,2015 LR,,Kenya,8.0,0.75,25.0,2015,12.47,25.0,,8.0,5.0,,29.21,id_0c00c363,34.65981755,5.0,-0.792466591,17.02
22.5,,2018 LR,h614d,Kenya,6.0,0.6,,2018,,,,6.0,6.0,4/2/2018,29.5,id_0c0424c7,35.2957041,6.0,0.4058952,
26.95,,2015 LR,,Kenya,8.0,0.5,0.0,2015,15.35,25.0,,8.0,5.0,,25.9,id_0c04617b,34.17650007,5.0,0.428819562,11.4
,,2017 LR,PAN 691,Kenya,8.0,1.4,,2017,9.8,,,8.0,5.0,,,id_0c19f3c2,34.72227562,,0.284478902,12.8
10.5,,2016 LR,DK_8031,Kenya,8.0,0.25,6.0,2016,8.48,12.5,,8.0,5.0,4/24/2016,18.1,id_0c1e9265,34.38312211,5.0,0.112005109,4.6
,,2017 LR,H 6213,Kenya,8.0,0.5,50.0,2017,23.75,25.0,,8.0,5.0,,,id_0c242f0c,34.64946579,5.0,0.022165228,27.5
12.0,,2015A,DK,Rwanda,,0.0741315,,2015,,,,,,12-Sep-14,9.0,id_0c24cd4d,29.29627658,,-2.263545878,
16.65,,2016 LR,SC_DUMA_43,Kenya,8.0,1.5,62.5,2016,9.6,62.5,,8.0,5.0,,19.25,id_0c2a5ef9,34.46679725,2.0,0.718648058,7.3
11.0,,2016A,,Rwanda,3.0,2.47105,,2016,,0.25,,3.0,8.0,11/13/2015,19.0,id_0c30843d,29.36045971,8.0,-2.28804343,
17.15,,2018 LR,localmaize,Kenya,6.0,0.25,,2018,,,,6.0,6.0,3/3/2018,15.35,id_0c3128c6,34.52015264,6.0,-0.653299336,
