BoxAWetWeight,Urea_Kgs,Season,Variety,Country,BoxBLength,PlotSize_acres,CAN_Kgs,Year,BoxBDryWeight,DAP_Kgs,NPK_Kgs,BoxALength,BoxAWidth,PlantingDate,BoxBWetWeight,ImgID,Longitude,BoxBWidth,Latitude,BoxADryWeight
,,2017 LR,,Kenya,8.0,0.5,,2017,6.1,,,8.0,5.0,,,id_00858356,34.73956327,,-0.494988585,7.0
34.5,,2016 LR,,Kenya,8.0,0.75,25.0,2016,12.4,25.0,,8.0,5.0,,23.4,id_00917cf6,34.55846017,5.0,0.58175777,18.2
16.15,,2018 LR,localmaize,Kenya,6.0,0.25,,2018,,,,6.0,6.0,3/8/2018,13.0,id_0091fb0d,34.42596959,6.0,-0.623021462,
,,2017 LR,DK 8031,Kenya,8.0,0.5,12.5,2017,10.8,25.0,,8.0,5.0,,,id_00934d4a,34.32837281,5.0,-0.014436597,22.1
34.7,,2015 LR,,Kenya,8.0,0.25,12.5,2015,14.1,6.25,,8.0,5.0,,28.7,id_00960072,34.41502774,5.0,0.104333404,20.3
,,2018 LR,,Kenya,,0.25,,2018,0.0,,,,,,,id_009da071,34.4943846,,0.1576142,8.6
17.25,,2018 LR,wh505,Kenya,6.0,0.5,25.0,2018,,25.0,,6.0,6.0,3/14/2018,14.5,id_009ef945,34.5399926,6.0,0.4634525,
21.0,,2018 LR,h6213,Kenya,6.0,5.0,,2018,,500.0,,6.0,6.0,3/14/2018,19.4,id_00a189b3,34.9866859,6.0,0.8069348,
,,2018 LR,,Kenya,,0.25,,2018,23.95,,,,,,,id_00a3b659,35.24101725,,1.086498308,16.8
8.9,,2018 LR,Dk_8053,Tanzania,6.0,0.5,25.0,2018,5.3,25.0,,6.0,6.0,,6.5,id_00a51fe5,35.7807546,6.0,-7.8519395,7.2
,,2017 LR,DK 8031,Kenya,5.0,0.5,25.0,2017,11.9,25.0,,5.0,8.0,,,id_00a596a6,34.5396199,8.0,0.0885992,16.8
,,2018 LR,,Kenya,,1.3,,2018,9.0,,,,,,,id_00afa25a,35.0031148,,0.2798661,8.0
28.75,,2016 LR,WE_1101,Kenya,8.0,0.25,15.0,2016,24.7,15.0,,8.0,5.0,3/25/2016,32.2,id_00b02049,35.00075468,5.0,-0.475654181,21.6
,,2017 LR,WH 505,Kenya,8.0,0.5,25.0,2017,21.78,25.0,,8.0,5.0,,,id_00b8f513,34.73260031,5.0,0.690720311,9.7
36.8,,2015 LR,,Kenya,8.0,0.5,0.0,2015,12.6,25.0,,8.0,5.0,,29.8,id_00bf8ebf,34.60718122,5.0,0.120707309,16.9
13.0,,2018 LR,dk8031,Kenya,6.0,0.5,,2018,,25.0,,6.0,6.0,2/12/2018,10.4,id_00c245fb,34.342706,6.0,-1.0458314,
,,2018 LR,,Kenya,,0.5,,2018,21.65,,,,,,,id_00c3e898,34.7199369,,0.8206826,23.5
20.3,,2018 LR,otherhybrid,Kenya,6.0,0.25,,2018,,,,6.0,6.0,3/2/2018,25.65,id_00cbe83a,34.8667249,6.0,0.9150897,
15.2,2.0,2018 LR,otherhybrid,Kenya,6.0,0.5,6.0,2018,,20.0,,6.0,6.0,4/4/2018,21.4,id_00ce2928,34.65161072,6.0,0.798318785,
,,2018 LR,,Kenya,,0.125,,2018,6.1,,,,,,,id_00ceaba4,34.56743821,,-1.047708907,6.1
12.4,,2016 LR,Local,Kenya,8.0,0.25,0.0,2016,7.3,8.0,,,5.0,4/19/2016,16.6,id_00d0abcd,34.84770695,,-0.48584281,7.1
,,2018 LR,,Kenya,,0.5,,2018,9.96,,,,,,,id_00d0e7f4,34.75425973,,-0.527862399,8.65
14.35,,2015 LR,,Kenya,8.0,0.5,25.0,2015,11.6,25.0,,8.0,5.0,,17.6,id_00d51fe7,34.70746268,5.0,0.756524235,9.05
25.7,,2016 LR,H_6213,Kenya,5.0,1.0,0.0,2016,13.6,50.0,,,8.0,4/7/2016,27.24,id_00d9aa71,34.99126294,,0.786916975,9.8
22.4,,2018 LR,h614d,Kenya,6.0,0.4,25.0,2018,,25.0,,6.0,6.0,3/4/2018,13.85,id_00db8386,35.1616403,6.0,0.3695443,
18.3,,2015 LR,,Kenya,8.0,0.5,12.5,2015,11.25,12.5,,8.0,5.0,,19.2,id_00dc4493,34.95259333,5.0,-0.487617074,9.1
